variable,min,p50_median,mean,std,p75,p90,p95,p97_5,p99,p99_5,max
P(HOLD),0.571571249073746,0.9223886542109194,0.9093638018955686,0.06821606609638226,0.9509486170847274,0.9964721358526668,0.9966678928592815,0.9966678928592815,0.9967105263157895,1.0,1.0
P(BUY),0.0,0.028114541212053173,0.02932325571686841,0.02945358639345277,0.03938710808411598,0.08406290368338462,0.09588929804447968,0.10197098760556433,0.11020805325302473,0.1161533898324837,0.12715365720623847
P(SELL),0.0,0.050461382518176306,0.06131294238756288,0.05130573992077523,0.07424144082395848,0.12433100957361226,0.18795861738646988,0.20866591079216862,0.22842488970580663,0.24644282706304071,0.3968233512677599
"MAX(P_BUY, P_SELL)",0.0,0.059801533762581564,0.06690429361940163,0.04923348903300357,0.08579068660988232,0.12435310573106102,0.18795861738646988,0.20866591079216862,0.22842488970580663,0.24644282706304071,0.3968233512677599
PROBABILITY_MARGIN (top - 2nd),0.1747478978059861,0.8631585053800771,0.842459508276167,0.11618578888704949,0.9050764904695189,0.9929442717053336,0.9933357857185631,0.9933357857185631,0.993421052631579,1.0,1.0
